Time,Strain
-1.739013671,0.0
-1.738769530375,5.918337892232035e-28
-1.73852538975,2.3657797775840857e-27
-1.738281249125,5.3136551828835044e-27
-1.7380371085,9.419562787641668e-27
-1.737792967875,1.4660018570895698e-26
-1.73754882725,2.100409326657094e-26
-1.737304686625,2.841355650214021e-26
-1.737060546,3.684302250024215e-26
-1.736816405375,4.6240109513805724e-26
-1.73657226475,5.654563157603956e-26
-1.736328124125,6.769383550301021e-26
-1.7360839835,7.961268200190147e-26
-1.735839842875,9.222415638257638e-26
-1.73559570225,1.0544458885832709e-25
-1.735351561625,1.1918496794646377e-25
-1.735107421,1.3335124042963258e-25
-1.734863280375,1.4784460411453892e-25
-1.73461913975,1.6256181052454573e-25
-1.734374999125,1.773954975887093e-25
-1.7341308585,1.9223456369577546e-25
-1.733886717875,2.0696457771576395e-25
-1.73364257725,2.2146820468516833e-25
-1.733398436625,2.356256227239669e-25
-1.733154296,2.4931491580092935e-25
-1.732910155375,2.6241244581075263e-25
-1.73266601475,2.7479322891985154e-25
-1.732421874125,2.8633135379230903e-25
-1.7321777335,2.969004682114133e-25
-1.731933592875,3.063743202397033e-25
-1.73168945225,3.1462728892078034e-25
-1.731445311625,3.215348178517112e-25
-1.731201171,3.2697370294172187e-25
-1.730957030375,3.3082227118158587e-25
-1.73071288975,3.3296056561062465e-25
-1.730468749125,3.3327066706447543e-25
-1.7302246085,3.31637222362676e-25
-1.729980467875,3.2794814748586064e-25
-1.72973632725,3.220953886564135e-25
-1.729492186625,3.139755940692507e-25
-1.729248046,3.034905848072888e-25
-1.729003905375,2.905475979505427e-25
-1.72875976475,2.750593681770212e-25
-1.728515624125,2.569441682130742e-25
-1.7282714835,2.361259153515652e-25
-1.728027342875,2.125343892102152e-25
-1.72778320225,1.8610554581977358e-25
-1.727539061625,1.5678189161244456e-25
-1.727294921,1.2451288580813981e-25
-1.727050780375,8.925533357914606e-26
-1.72680663975,5.097370926226462e-26
-1.726562499125,9.640348758035055e-27
-1.7263183585,-3.4764491366401024e-26
-1.726074217875,-8.225262302819858e-26
-1.72583007725,-1.328278441209097e-25
-1.725585936625,-1.8648573375059415e-25
